timestamp,ip,country,city,attack_type,endpoint,user_agent,form_data
2025-11-15T23:37:51.388725,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.5","{'username': 'admin'; 'password': 'admin123'}"
2025-11-15T23:37:48.358245,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.5","{'username': 'hacker'; 'password': 'letmein'}"
2025-11-15T23:37:45.328090,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.5","{'username': 'admin'; 'password': 'password123'}"
2025-11-15T23:37:22.494358,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.5","{'username': 'admin'; 'password': 'admin123'}"
2025-11-15T23:37:19.469593,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.5","{'username': 'hacker'; 'password': 'letmein'}"
2025-11-15T23:37:16.437645,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.5","{'username': 'admin'; 'password': 'password123'}"
2025-11-15T23:36:24.455527,127.0.0.1,India,Nadiad (User_Location),,/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/142.0.0.0 Safari/537.36","{'username': 'admin'; 'password': 'admin123'}"
2025-10-27T09:59:59.019765,10.243.122.113,India,Nadiad (User_Location),,/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/141.0.0.0 Safari/537.36","{'username': 'admin'; 'password': 'admin123'}"
2025-10-27T09:57:21.867901,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.4","{'username': 'admin'; 'password': 'admin123'}"
2025-10-27T09:57:18.814004,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.4","{'username': 'hacker'; 'password': 'letmein'}"
2025-10-27T09:57:15.799751,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.4","{'username': 'admin'; 'password': 'password123'}"
2025-10-27T09:55:28.460737,10.243.122.113,India,Nadiad (User_Location),,/login,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML; like Gecko) Chrome/141.0.0.0 Safari/537.36","{'username': 'admin'; 'password': 'admin123'}"
2025-10-26T16:24:08.355288,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.4","{'username': 'admin'; 'password': 'admin123'}"
2025-10-26T16:24:05.321194,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.4","{'username': 'hacker'; 'password': 'letmein'}"
2025-10-26T16:24:02.290861,127.0.0.1,India,Nadiad (User_Location),,/login,"python-requests/2.32.4","{'username': 'admin'; 'password': 'password123'}"
